order_item_id,order_id,product_id,quantity,unit_price,discount_pct
1,1,11,3,41.29,0.0
2,1,77,2,177.17,0.0
3,1,1,2,52.08,0.0
4,1,32,3,130.85,0.0
5,2,7,1,189.9,0.0
6,3,72,-1,58.72,0.0
7,3,23,3,165.25,10.0
8,3,59,4,137.97,0.0
9,3,75,-4,227.7,0.0
10,3,47,3,144.15,0.0
11,4,94,3,115.85,0.0
12,4,81,3,243.31,0.0
13,4,68,3,85.39,15.0
14,4,12,4,127.97,0.0
15,4,62,4,155.64,0.0
16,5,4,4,193.39,0.0
17,6,6,2,198.49,0.0
18,6,43,2,16.37,0.0
19,6,45,3,242.85,5.0
20,6,72,3,58.72,0.0
21,7,51,1,109.23,10.0
22,7,93,2,161.42,0.0
23,7,73,3,97.41,15.0
24,8,20,3,234.75,0.0
25,8,81,4,243.31,15.0
26,8,59,1,137.97,10.0
27,8,69,3,89.92,0.0
28,9,46,3,109.69,10.0
29,9,9,3,137.06,20.0
30,9,20,2,234.75,0.0
31,10,35,4,26.29,0.0
32,11,23,1,165.25,5.0
33,11,15,1,82.54,0.0
34,11,48,1,126.95,5.0
35,12,42,2,164.24,0.0
36,12,19,1,232.32,0.0
37,12,13,1,156.19,0.0
38,13,6,3,198.49,0.0
39,13,14,3,132.45,0.0
40,13,67,2,231.81,0.0
41,13,85,2,22.63,0.0
42,14,20,1,234.75,0.0
43,14,21,1,68.66,0.0
44,14,36,3,64.71,0.0
45,15,10,3,118.69,0.0
46,15,40,1,195.69,0.0
47,16,91,4,103.0,0.0
48,16,77,3,177.17,0.0
49,17,17,4,209.57,0.0
50,17,12,4,127.97,0.0
51,17,90,2,124.02,0.0
52,17,60,3,174.68,15.0
53,17,13,4,156.19,0.0
54,18,15,2,82.54,0.0
55,18,45,3,242.85,0.0
56,18,62,2,155.64,0.0
57,18,60,4,174.68,10.0
58,19,52,2,107.61,0.0
59,19,76,4,146.51,0.0
60,19,53,3,8.98,0.0
61,19,31,4,101.08,5.0
62,20,85,1,22.63,5.0
63,20,86,4,118.78,0.0
64,21,52,1,107.61,0.0
65,21,9,4,137.06,0.0
66,21,77,1,177.17,0.0
67,22,69,4,89.92,0.0
68,22,38,3,122.19,0.0
69,22,50,3,249.28,15.0
70,22,79,4,81.42,5.0
71,23,17,1,209.57,0.0
72,23,38,3,122.19,0.0
73,23,8,3,91.47,10.0
74,23,48,2,126.95,0.0
75,24,49,2,51.93,0.0
76,24,56,4,16.47,0.0
77,24,70,-4,71.14,20.0
78,24,28,-2,83.19,0.0
79,25,11,4,41.29,10.0
80,25,18,4,57.52,0.0
81,26,24,1,140.86,0.0
82,26,55,2,172.28,5.0
83,27,73,4,97.41,5.0
84,28,60,1,174.68,0.0
85,28,67,1,231.81,0.0
86,28,11,3,41.29,0.0
87,29,61,3,13.74,20.0
88,29,74,3,59.17,0.0
89,29,94,1,115.85,0.0
90,29,43,3,16.37,5.0
91,29,54,3,156.93,0.0
92,30,4,1,193.39,10.0
93,30,37,3,143.56,0.0
94,30,63,3,99.0,0.0
95,30,11,3,41.29,0.0
96,30,17,1,209.57,0.0
97,31,90,2,124.02,5.0
98,31,31,1,101.08,0.0
99,31,63,1,99.0,20.0
100,32,85,2,22.63,0.0
101,32,57,3,205.57,0.0
102,33,39,4,150.02,0.0
103,33,61,4,13.74,0.0
104,33,69,2,89.92,0.0
105,33,30,4,231.76,0.0
106,34,69,3,89.92,0.0
107,35,51,2,109.23,0.0
108,35,60,2,174.68,0.0
109,35,87,1,36.97,0.0
110,35,31,1,101.08,0.0
111,35,94,1,115.85,0.0
112,36,4,1,193.39,0.0
113,37,91,1,103.0,0.0
114,38,33,4,56.06,0.0
115,38,38,4,122.19,0.0
116,39,36,1,64.71,0.0
117,40,63,2,99.0,0.0
118,41,28,4,83.19,5.0
119,41,79,1,81.42,0.0
120,41,83,1,48.63,0.0
121,41,14,3,132.45,5.0
122,42,20,4,234.75,0.0
123,42,90,4,124.02,0.0
124,42,43,4,16.37,10.0
125,43,73,3,97.41,0.0
126,44,11,2,41.29,0.0
127,44,59,1,137.97,20.0
128,44,38,2,122.19,0.0
129,45,95,-2,135.85,20.0
130,45,25,2,169.6,0.0
131,45,18,3,57.52,20.0
132,45,5,4,242.5,0.0
133,46,84,4,143.06,15.0
134,46,86,2,118.78,5.0
135,47,61,1,13.74,0.0
136,48,79,1,81.42,0.0
137,48,22,2,240.26,0.0
138,48,76,2,146.51,0.0
139,48,9,4,137.06,0.0
140,49,23,2,165.25,5.0
141,49,43,2,16.37,0.0
142,49,9,2,137.06,0.0
143,49,16,1,47.12,0.0
144,49,36,4,64.71,5.0
145,50,91,3,103.0,0.0
146,51,67,2,231.81,15.0
147,51,58,1,114.17,0.0
148,51,53,4,8.98,0.0
149,52,72,2,58.72,0.0
150,53,60,2,174.68,0.0
151,53,81,2,243.31,0.0
152,54,86,1,118.78,0.0
153,54,6,3,198.49,0.0
154,55,69,2,89.92,0.0
155,56,76,2,146.51,5.0
156,56,75,3,227.7,0.0
157,56,42,1,164.24,0.0
158,56,54,1,156.93,0.0
159,57,63,4,99.0,0.0
160,57,7,3,189.9,0.0
161,57,56,2,16.47,0.0
162,57,19,3,232.32,0.0
163,57,28,2,83.19,0.0
164,58,54,3,156.93,0.0
165,58,22,2,240.26,0.0
166,58,44,2,83.73,0.0
167,58,29,4,182.29,10.0
168,59,95,2,135.85,10.0
169,59,32,2,130.85,15.0
170,59,42,1,164.24,0.0
171,59,56,1,16.47,0.0
172,60,51,4,109.23,0.0
173,60,62,1,155.64,0.0
174,60,90,4,124.02,15.0
175,60,13,2,156.19,0.0
176,60,58,2,114.17,0.0
177,61,75,4,227.7,0.0
178,61,4,3,193.39,0.0
179,61,59,1,137.97,10.0
180,61,60,1,174.68,0.0
181,61,18,3,57.52,0.0
182,62,74,3,59.17,5.0
183,62,27,1,112.42,0.0
184,62,88,3,6.71,10.0
185,62,11,1,41.29,0.0
186,62,80,4,210.36,0.0
187,63,91,1,103.0,0.0
188,63,27,2,112.42,5.0
189,63,18,2,57.52,0.0
190,63,43,3,16.37,0.0
191,63,31,4,101.08,0.0
192,64,16,3,47.12,0.0
193,64,61,3,13.74,5.0
194,64,91,1,103.0,0.0
195,64,69,4,89.92,0.0
196,64,87,4,36.97,10.0
197,65,64,2,7.71,0.0
198,65,20,1,234.75,0.0
199,66,38,2,122.19,0.0
200,67,84,4,143.06,0.0
201,67,83,4,48.63,0.0
202,67,42,-3,164.24,0.0
203,68,59,2,137.97,5.0
204,68,22,3,240.26,0.0
205,68,80,2,210.36,10.0
206,69,17,2,209.57,0.0
207,69,57,1,205.57,0.0
208,69,34,3,230.02,0.0
209,69,48,4,126.95,0.0
210,69,24,2,140.86,0.0
211,70,20,3,234.75,0.0
212,70,1,3,52.08,0.0
213,70,95,3,135.85,20.0
214,71,89,4,190.17,15.0
215,71,15,2,82.54,0.0
216,71,94,1,115.85,0.0
217,72,42,1,164.24,0.0
218,73,11,4,41.29,0.0
219,74,78,4,244.02,0.0
220,74,66,4,150.49,0.0
