product_id,product_name,category,unit_cost,unit_price,active
1,Auriculares,ELECTRONICA,25.19,52.08,1
2,Auriculares v2,Electrónica,82.18,110.24,1
3,Smartwatch,Electrónica,3.84,5.21,1
4,Parlante Bluetooth,Electrónica,130.61,193.39,1
5,Parlante Bluetooth v2,Electrónica,126.62,242.5,1
6,Cargador USB-C,Electrónica,141.37,198.49,1
7,Cargador USB-C v2,Electrónica,96.53,189.9,1
8,Cargador USB-C v3,Electrónica,64.91,91.47,1
9,Mouse,Electrónica,82.64,137.06,1
10,Mouse v2,Electrónica,58.12,118.69,1
11,Teclado mecánico,ELECTRONICA,27.31,41.29,1
12,Teclado mecánico v2,Electrónica,67.81,127.97,1
13,Teclado mecánico v3,Electrónica,102.12,156.19,1
14,Webcam,Electrónica,79.57,132.45,1
15,Power bank,Electrónica,59.52,82.54,0
16,Power bank v2,ELECTRONICA,34.9,47.12,1
17,Power bank v3,Electrónica,115.81,209.57,1
18,Hub USB,Electrónica,,57.52,1
19,Hub USB v2,Electrónica,116.25,232.32,1
20,SSD externo,Electrónica,146.77,234.75,1
21,SSD externo v2,Electrónica,50.66,68.66,1
22,SSD externo v3,Electrónica,173.19,240.26,1
23,Cafetera,Hogar,95.68,165.25,1
24,Cafetera v2,Hogar,74.12,140.86,1
25,Cafetera v3,Hogar,91.45,169.6,1
26,Set de sábanas,Hogar,83.11,138.84,1
27,Lámpara LED,Hogar,72.43,112.42,1
28,Lámpara LED v2,Hogar,53.12,83.19,1
29,Lámpara LED v3,Hogar,103.45,182.29,1
30,Organizador,Hogar,156.15,231.76,1
31,Organizador v2,Hogar,53.79,101.08,1
32,Organizador v3,Hogar,59.14,130.85,1
33,Aspiradora portátil,Hogar,36.75,56.06,1
34,Difusor de aromas,Hogar,137.23,230.02,1
35,Difusor de aromas v2,Hogar,16.09,26.29,1
36,Set de ollas,Hogar,43.56,64.71,1
37,Set de ollas v2,Hogar,98.31,143.56,1
38,Set de ollas v3,Hogar,73.74,122.19,1
39,Silla plegable,Hogar,99.0,150.02,1
40,Espejo decorativo,Hogar,92.65,195.69,1
41,Remera básica,Indumentaria,51.84,105.88,1
42,Remera básica v2,Indumentaria,,164.24,1
43,Buzo canguro,Indumentaria,9.7,16.37,1
44,Buzo canguro v2,Indumentaria,45.27,83.73,1
45,Campera impermeable,Indumentaria,127.29,242.85,1
46,Campera impermeable v2,Indumentaria,56.39,109.69,1
47,Zapatillas urbanas,Indumentaria,105.98,144.15,1
48,Zapatillas urbanas v2,Indumentaria,65.74,126.95,1
49,Jean recto,Indumentaria,32.79,51.93,1
50,Jean recto v2,Indumentaria,147.75,249.28,1
51,Jean recto v3,Indumentaria,59.48,109.23,1
52,Gorra,Indumentaria,69.46,107.61,1
53,Gorra v2,Indumentaria,5.91,8.98,1
54,Medias pack x3,Indumentaria,96.96,156.93,1
55,Medias pack x3 v2,Indumentaria,121.15,172.28,1
56,Mochila,Indumentaria,7.66,16.47,1
57,Mochila v2,Indumentaria,153.33,205.57,1
58,Mochila v3,Indumentaria,84.85,114.17,1
59,Mancuernas ajustables,Deportes,72.42,137.97,1
60,Colchoneta yoga,Deportes,95.99,174.68,1
61,Botella térmica,Deportes,9.6,13.74,1
62,Botella térmica v2,Deportes,114.25,155.64,0
63,Botella térmica v3,Deportes,66.19,99.0,1
64,Banda elástica,Deportes,3.78,7.71,1
65,Guantes de entrenamiento,Deportes,69.08,128.61,1
66,Guantes de entrenamiento v2,Deportes,108.89,150.49,1
67,Cuerda para saltar,Deportes,172.36,231.81,1
68,Cuerda para saltar v2,Deportes,53.96,85.39,1
69,Cuerda para saltar v3,Deportes,50.57,89.92,1
70,Set de brochas,Belleza,52.03,71.14,1
71,Set de brochas v2,Belleza,113.22,249.99,1
72,Set de brochas v3,Belleza,38.02,58.72,1
73,Crema hidratante,Belleza,44.99,97.41,1
74,Crema hidratante v2,Belleza,40.11,59.17,1
75,Crema hidratante v3,Belleza,148.28,227.7,1
76,Secador de pelo,Belleza,79.82,146.51,1
77,Plancha de cabello,Belleza,105.04,177.17,1
78,Plancha de cabello v2,Belleza,172.39,244.02,1
79,Plancha de cabello v3,Belleza,47.45,81.42,1
80,Perfume 50ml,Belleza,,210.36,1
81,Perfume 50ml v2,Belleza,112.32,243.31,1
82,Kit de skincare,Belleza,155.95,233.51,1
83,Kit de skincare v2,Belleza,25.35,48.63,1
84,Kit de skincare v3,Belleza,97.38,143.06,1
85,Cuaderno A5,Librería,11.68,22.63,1
86,Cuaderno A5 v2,Librería,65.94,118.78,1
87,Set de birom,Librería,,36.97,1
88,Set de birom v2,Librería,4.49,6.71,1
89,Agenda 2026,Librería,138.85,190.17,1
90,Cartuchera,Librería,80.93,124.02,1
91,Cartuchera v2,Librería,75.96,103.0,1
92,Cartuchera v3,Librería,45.49,80.29,1
93,Resaltadores pack x5,Librería,,161.42,1
94,Resaltadores pack x5 v2,Librería,56.38,115.85,1
95,Resaltadores pack x5 v3,Librería,,135.85,1
