mes,category_clean,revenue
2024-06,belleza,12593.713
2024-06,deportes,6724.2915
2024-06,electronica,18343.6815
2024-06,hogar,18340.56
2024-06,indumentaria,13158.5055
2024-06,librería,8317.305
2024-07,belleza,11157.1875
2024-07,deportes,7390.8235
2024-07,electronica,15406.024
2024-07,hogar,10958.576
2024-07,indumentaria,9874.0665
2024-07,librería,3371.809
2024-08,belleza,6471.806
2024-08,deportes,4624.3605
2024-08,electronica,11308.2195
2024-08,hogar,11982.919
2024-08,indumentaria,9344.5935
2024-08,librería,5571.0165
2024-09,belleza,12838.009
2024-09,deportes,7987.294
2024-09,electronica,16243.366
2024-09,hogar,17300.1735
2024-09,indumentaria,13978.1705
2024-09,librería,4843.661
2024-10,belleza,11375.1515
2024-10,deportes,6857.534
2024-10,electronica,16422.947
2024-10,hogar,9674.0945
2024-10,indumentaria,14058.2405
2024-10,librería,4822.5455
2024-11,belleza,13607.017
2024-11,deportes,4850.831
2024-11,electronica,16716.0515
2024-11,hogar,9987.618
2024-11,indumentaria,11302.3035
2024-11,librería,6957.37
2024-12,belleza,8412.0715
2024-12,deportes,7633.9805
2024-12,electronica,14977.999
2024-12,hogar,10199.2635
2024-12,indumentaria,10891.4835
2024-12,librería,7264.6955
2025-01,belleza,11237.5935
2025-01,deportes,8705.1515
2025-01,electronica,14895.105
2025-01,hogar,8969.117
2025-01,indumentaria,10811.5055
2025-01,librería,4920.346
2025-02,belleza,10468.4815
2025-02,deportes,4664.999
2025-02,electronica,17859.8515
2025-02,hogar,13191.236
2025-02,indumentaria,13939.2825
2025-02,librería,5273.441
2025-03,belleza,12975.075
2025-03,deportes,4480.2
2025-03,electronica,11062.9185
2025-03,hogar,8529.8985
2025-03,indumentaria,7910.494
2025-03,librería,2895.202
2025-04,belleza,9021.308
2025-04,deportes,4992.3415
2025-04,electronica,9562.593
2025-04,hogar,7507.967
2025-04,indumentaria,6535.326
2025-04,librería,3630.235
2025-05,belleza,10491.619
2025-05,deportes,7778.56
2025-05,electronica,13679.5035
2025-05,hogar,10139.043
2025-05,indumentaria,10887.245
2025-05,librería,8690.5545
2025-06,belleza,10550.9825
2025-06,deportes,3982.768
2025-06,electronica,22312.782
2025-06,hogar,10946.0595
2025-06,indumentaria,9605.2355
2025-06,librería,6005.7695
2025-07,belleza,14310.2275
2025-07,deportes,10042.7705
2025-07,electronica,12099.008
2025-07,hogar,20620.495
2025-07,indumentaria,16160.0335
2025-07,librería,9888.592
2025-08,belleza,12191.7125
2025-08,deportes,6724.464
2025-08,electronica,20486.7425
2025-08,hogar,17236.259
2025-08,indumentaria,13632.8215
2025-08,librería,8640.607
2025-09,belleza,8336.8835
2025-09,deportes,3712.3705
2025-09,electronica,16447.6145
2025-09,hogar,10937.155
2025-09,indumentaria,13392.096
2025-09,librería,6151.69
2025-10,belleza,14760.65
2025-10,deportes,6135.6365
2025-10,electronica,17477.2115
2025-10,hogar,18032.757
2025-10,indumentaria,9674.375
2025-10,librería,7502.668
2025-11,belleza,15821.047
2025-11,deportes,5840.3995
2025-11,electronica,17559.716
2025-11,hogar,8613.6825
2025-11,indumentaria,13704.531
2025-11,librería,6151.961
2025-12,belleza,9828.517
2025-12,deportes,3496.647
2025-12,electronica,13034.2775
2025-12,hogar,9450.59
2025-12,indumentaria,11257.9595
2025-12,librería,5482.094
2026-01,belleza,10789.462
2026-01,deportes,7462.887
2026-01,electronica,14809.6525
2026-01,hogar,14308.704
2026-01,indumentaria,8842.992
2026-01,librería,4935.124
2026-02,belleza,14466.729
2026-02,deportes,5869.1285
2026-02,electronica,21495.988
2026-02,hogar,11983.5665
2026-02,indumentaria,17366.7375
2026-02,librería,6383.918
2026-03,belleza,9321.223
2026-03,deportes,4861.523
2026-03,electronica,9557.01
2026-03,hogar,18861.493
2026-03,indumentaria,11113.2595
2026-03,librería,4127.062
2026-04,belleza,7391.7475
2026-04,deportes,6958.464
2026-04,electronica,15959.2075
2026-04,hogar,11859.6345
2026-04,indumentaria,11898.5225
2026-04,librería,7188.3745
2026-05,belleza,11407.404
2026-05,deportes,7871.8655
2026-05,electronica,18278.4155
2026-05,hogar,8538.904
2026-05,indumentaria,6484.277
2026-05,librería,5911.525
2026-06,belleza,12379.8415
2026-06,deportes,5737.802
2026-06,electronica,10686.814
2026-06,hogar,9622.004
2026-06,indumentaria,7249.252
2026-06,librería,5313.11
