campaign_name,channel,budget_usd,revenue,roi
Email Marketing - Aug 2024,Email Marketing,7392.75,68804.266,830.699212065875
Email Marketing - Jan 2026,Email Marketing,6264.73,80581.865,1186.27833921015
Email Marketing - Jul 2024,Email Marketing,6707.16,68898.481,927.237772768206
Email Marketing - Nov 2025,Email Marketing,7034.79,59690.003,748.497297005312
Facebook Ads - Apr 2026,Facebook Ads,2398.33,84732.9065,3432.99614731918
Facebook Ads - Dec 2024,Facebook Ads,1848.29,80779.8705,4270.5192637519
Google Ads - Feb 2025,Google Ads,3902.61,81939.1735,1999.59933224176
Google Ads - Jul 2025,Google Ads,3870.49,80643.5665,1983.54927929022
Influencers - Jun 2026,Influencers,6555.91,91609.3585,1297.35534044854
Instagram Ads - Apr 2025,Instagram Ads,1176.35,73579.7415,6154.91915671356
Instagram Ads - Dec 2025,Instagram Ads,,72329.272,
Instagram Ads - Mar 2026,Instagram Ads,7239.06,74176.9325,924.676304658339
Instagram Ads - Oct 2024,Instagram Ads,6724.2,63470.7295,843.914956426043
Instagram Ads - Oct 2025,Instagram Ads,,82926.5895,
Orgánico/SEO - Aug 2025,Orgánico/SEO,5951.55,69830.61,1073.31804319883
Orgánico/SEO - Jan 2025,Orgánico/SEO,1514.8,68918.4585,4449.67378531819
Orgánico/SEO - Jun 2024,Orgánico/SEO,1923.88,78520.6465,3981.36923820612
Orgánico/SEO - May 2025,Orgánico/SEO,1729.96,66359.3085,3735.88687021665
