campaign_id,campaign_name,channel,start_date,end_date,budget_usd
1,Orgánico/SEO - Jun 2024,Orgánico/SEO,2024-06-01,2024-06-22,1923.88
2,Email Marketing - Jul 2024,Email Marketing,2024-07-07,2024-08-20,6707.16
3,Email Marketing - Aug 2024,Email Marketing,2024-08-27,2024-10-05,7392.75
4,Instagram Ads - Oct 2024,Instagram Ads,2024-10-20,2024-11-23,6724.2
5,Facebook Ads - Dec 2024,Facebook Ads,2024-12-05,2024-12-28,1848.29
6,Orgánico/SEO - Jan 2025,Orgánico/SEO,2025-01-12,2025-02-18,1514.8
7,Google Ads - Feb 2025,Google Ads,2025-02-26,2025-03-23,3902.61
8,Instagram Ads - Apr 2025,Instagram Ads,2025-04-07,2025-05-11,1176.35
9,Orgánico/SEO - May 2025,Orgánico/SEO,2025-05-22,2025-07-06,1729.96
10,Google Ads - Jul 2025,Google Ads,2025-07-08,2025-08-19,3870.49
11,Orgánico/SEO - Aug 2025,Orgánico/SEO,2025-08-28,2025-09-29,5951.55
12,Instagram Ads - Oct 2025,Instagram Ads,2025-10-09,2025-11-10,
13,Email Marketing - Nov 2025,Email Marketing,2025-11-13,2025-12-21,7034.79
14,Instagram Ads - Dec 2025,Instagram Ads,2025-12-24,2026-01-18,
15,Email Marketing - Jan 2026,Email Marketing,2026-01-23,2026-03-07,6264.73
16,Instagram Ads - Mar 2026,Instagram Ads,2026-03-18,2026-04-10,7239.06
17,Facebook Ads - Apr 2026,Facebook Ads,2026-04-11,2026-05-25,2398.33
18,Influencers - Jun 2026,Influencers,2026-06-08,2026-07-15,6555.91
