order_id,customer_id,order_date,status,payment_method,shipping_cost,campaign_id
1,244,2025-01-09,Cancelado,Billetera virtual,2.5,11
2,34,2026-04-15,Cancelado,Efectivo (retiro en local),0.0,8
3,183,2024-11-13,Reembolsado,Transferencia,4.99,17
4,215,2026-05-14,Completado,Efectivo (retiro en local),0.0,1
5,185,2026-02-15,Completado,Transferencia,0.0,
6,121,2026-06-26,Pendiente,Tarjeta de débito,4.99,11
7,564,2025-04-28,Pendiente,Tarjeta de crédito,0.0,8
8,491,2025-09-29,Pendiente,Tarjeta de crédito,7.99,2
9,324,2025-12-21,Cancelado,Tarjeta de crédito,0.0,16
10,399,2024-12-09,Cancelado,Tarjeta de crédito,0.0,8
11,244,2025-06-16,Completado,Transferencia,0.0,14
12,513,2024-11-05,Completado,Transferencia,2.5,14
13,46,2026-05-05,Pendiente,Efectivo (retiro en local),0.0,8
14,546,2025-04-23,Pendiente,Billetera virtual,7.99,1
15,278,2024-10-23,Reembolsado,Transferencia,4.99,5
16,109,2025-06-28,Completado,Tarjeta de crédito,2.5,10
17,203,2026-06-01,Pendiente,Efectivo (retiro en local),0.0,12
18,339,2025-04-29,Completado,Billetera virtual,0.0,
19,110,2025-04-30,Cancelado,Tarjeta de crédito,0.0,15
20,446,2026-01-02,Pendiente,Transferencia,4.99,5
21,475,2025-04-30,Cancelado,Tarjeta de crédito,2.5,3
22,143,2026-01-16,Pendiente,Tarjeta de crédito,0.0,2
23,353,2024-08-31,Cancelado,Tarjeta de crédito,4.99,14
24,605,2025-07-09,Reembolsado,Transferencia,7.99,10
25,17,2024-10-26,Reembolsado,Billetera virtual,7.99,11
26,435,2025-12-18,Pendiente,Billetera virtual,2.5,9
27,276,2025-07-26,Cancelado,Efectivo (retiro en local),0.0,
28,116,2026-01-16,Completado,Tarjeta de crédito,0.0,14
29,352,2025-11-30,Pendiente,Tarjeta de crédito,2.5,12
30,485,2026-01-14,Completado,Efectivo (retiro en local),0.0,7
31,606,2026-06-27,Completado,Billetera virtual,0.0,3
32,610,2024-11-05,Pendiente,Billetera virtual,2.5,10
33,271,2024-09-27,Completado,Tarjeta de débito,2.5,10
34,460,2025-06-27,Reembolsado,Transferencia,4.99,
35,280,2025-05-10,Completado,Transferencia,0.0,6
36,457,2025-05-26,Completado,Transferencia,0.0,4
37,609,2026-04-04,Pendiente,Tarjeta de débito,4.99,18
38,134,2025-06-20,Reembolsado,Efectivo (retiro en local),0.0,1
